sample_i_id,sample_j_id,x_i_start_date,x_i_end_date,target_i_date,x_j_start_date,x_j_end_date,target_j_date,cpi_i,cpi_j,delta_cpi,window_distance
12,0,2018-09,2019-08,2019-09,2017-09,2018-08,2018-09,103.0,102.5,0.5,1.544648
13,0,2018-10,2019-09,2019-10,2017-09,2018-08,2018-09,103.8,102.5,1.3,1.136255
13,1,2018-10,2019-09,2019-10,2017-10,2018-09,2018-10,103.8,102.5,1.3,1.401889
14,0,2018-11,2019-10,2019-11,2017-09,2018-08,2018-09,104.5,102.5,2.0,1.089918
14,1,2018-11,2019-10,2019-11,2017-10,2018-09,2018-10,104.5,102.5,2.0,0.969841
14,2,2018-11,2019-10,2019-11,2017-11,2018-10,2018-11,104.5,102.2,2.3,1.237677
15,0,2018-12,2019-11,2019-12,2017-09,2018-08,2018-09,104.5,102.5,2.0,1.056546
15,1,2018-12,2019-11,2019-12,2017-10,2018-09,2018-10,104.5,102.5,2.0,0.977122
15,2,2018-12,2019-11,2019-12,2017-11,2018-10,2018-11,104.5,102.2,2.3,0.909831
15,3,2018-12,2019-11,2019-12,2017-12,2018-11,2018-12,104.5,101.9,2.6,1.269621
16,0,2019-01,2019-12,2020-01,2017-09,2018-08,2018-09,105.4,102.5,2.9,1.146067
16,1,2019-01,2019-12,2020-01,2017-10,2018-09,2018-10,105.4,102.5,2.9,0.990643
16,2,2019-01,2019-12,2020-01,2017-11,2018-10,2018-11,105.4,102.2,3.2,0.9065
16,3,2019-01,2019-12,2020-01,2017-12,2018-11,2018-12,105.4,101.9,3.5,1.000797
16,4,2019-01,2019-12,2020-01,2018-01,2018-12,2019-01,105.4,101.7,3.7,1.40716
17,0,2019-02,2020-01,2020-02,2017-09,2018-08,2018-09,105.2,102.5,2.7,1.156057
17,1,2019-02,2020-01,2020-02,2017-10,2018-09,2018-10,105.2,102.5,2.7,1.071066
17,2,2019-02,2020-01,2020-02,2017-11,2018-10,2018-11,105.2,102.2,3.0,0.91172
17,3,2019-02,2020-01,2020-02,2017-12,2018-11,2018-12,105.2,101.9,3.3,1.035322
17,4,2019-02,2020-01,2020-02,2018-01,2018-12,2019-01,105.2,101.7,3.5,1.239951
17,5,2019-02,2020-01,2020-02,2018-02,2019-01,2019-02,105.2,101.5,3.7,1.684355
18,0,2019-03,2020-02,2020-03,2017-09,2018-08,2018-09,104.3,102.5,1.8,1.249212
18,1,2019-03,2020-02,2020-03,2017-10,2018-09,2018-10,104.3,102.5,1.8,1.12432
18,2,2019-03,2020-02,2020-03,2017-11,2018-10,2018-11,104.3,102.2,2.1,0.983449
18,3,2019-03,2020-02,2020-03,2017-12,2018-11,2018-12,104.3,101.9,2.4,1.003222
18,4,2019-03,2020-02,2020-03,2018-01,2018-12,2019-01,104.3,101.7,2.6,1.217164
18,5,2019-03,2020-02,2020-03,2018-02,2019-01,2019-02,104.3,101.5,2.8,1.551383
18,6,2019-03,2020-02,2020-03,2018-03,2019-02,2019-03,104.3,102.3,2.0,1.650339
19,0,2019-04,2020-03,2020-04,2017-09,2018-08,2018-09,103.3,102.5,0.8,1.291724
19,1,2019-04,2020-03,2020-04,2017-10,2018-09,2018-10,103.3,102.5,0.8,1.27284
19,2,2019-04,2020-03,2020-04,2017-11,2018-10,2018-11,103.3,102.2,1.1,1.103439
19,3,2019-04,2020-03,2020-04,2017-12,2018-11,2018-12,103.3,101.9,1.4,1.032599
19,4,2019-04,2020-03,2020-04,2018-01,2018-12,2019-01,103.3,101.7,1.6,1.094339
19,5,2019-04,2020-03,2020-04,2018-02,2019-01,2019-02,103.3,101.5,1.8,1.399153
19,6,2019-04,2020-03,2020-04,2018-03,2019-02,2019-03,103.3,102.3,1.0,1.458977
19,7,2019-04,2020-03,2020-04,2018-04,2019-03,2019-04,103.3,102.5,0.8,1.609501
20,0,2019-05,2020-04,2020-05,2017-09,2018-08,2018-09,102.4,102.5,-0.1,1.270979
20,1,2019-05,2020-04,2020-05,2017-10,2018-09,2018-10,102.4,102.5,-0.1,1.408387
20,2,2019-05,2020-04,2020-05,2017-11,2018-10,2018-11,102.4,102.2,0.2,1.335535
20,3,2019-05,2020-04,2020-05,2017-12,2018-11,2018-12,102.4,101.9,0.5,1.175354
20,4,2019-05,2020-04,2020-05,2018-01,2018-12,2019-01,102.4,101.7,0.7,1.066393
20,5,2019-05,2020-04,2020-05,2018-02,2019-01,2019-02,102.4,101.5,0.9,1.178435
20,6,2019-05,2020-04,2020-05,2018-03,2019-02,2019-03,102.4,102.3,0.1,1.110446
20,7,2019-05,2020-04,2020-05,2018-04,2019-03,2019-04,102.4,102.5,-0.1,1.465901
20,8,2019-05,2020-04,2020-05,2018-05,2019-04,2019-05,102.4,102.7,-0.3,1.693843
21,0,2019-06,2020-05,2020-06,2017-09,2018-08,2018-09,102.5,102.5,0.0,1.321953
21,1,2019-06,2020-05,2020-06,2017-10,2018-09,2018-10,102.5,102.5,0.0,1.461329
21,2,2019-06,2020-05,2020-06,2017-11,2018-10,2018-11,102.5,102.2,0.3,1.520644
21,3,2019-06,2020-05,2020-06,2017-12,2018-11,2018-12,102.5,101.9,0.6,1.424534
21,4,2019-06,2020-05,2020-06,2018-01,2018-12,2019-01,102.5,101.7,0.8,1.186496
21,5,2019-06,2020-05,2020-06,2018-02,2019-01,2019-02,102.5,101.5,1.0,1.06809
21,6,2019-06,2020-05,2020-06,2018-03,2019-02,2019-03,102.5,102.3,0.2,0.641145
21,7,2019-06,2020-05,2020-06,2018-04,2019-03,2019-04,102.5,102.5,0.0,1.19797
21,8,2019-06,2020-05,2020-06,2018-05,2019-04,2019-05,102.5,102.7,-0.2,1.606969
21,9,2019-06,2020-05,2020-06,2018-06,2019-05,2019-06,102.5,102.7,-0.2,1.820418
22,0,2019-07,2020-06,2020-07,2017-09,2018-08,2018-09,102.7,102.5,0.2,1.370136
22,1,2019-07,2020-06,2020-07,2017-10,2018-09,2018-10,102.7,102.5,0.2,1.488512
22,2,2019-07,2020-06,2020-07,2017-11,2018-10,2018-11,102.7,102.2,0.5,1.556687
22,3,2019-07,2020-06,2020-07,2017-12,2018-11,2018-12,102.7,101.9,0.8,1.598044
22,4,2019-07,2020-06,2020-07,2018-01,2018-12,2019-01,102.7,101.7,1.0,1.433559
